1_name,2_link,3_min_salary,4_max_salary,5_salary_cur,6_site
Категорийный эксперт / тренер по технологическому процессу,https://hh.ru/vacancy/43993357?query=Lean,,,,https://hh.ru
Менеджер по пищевой безопасности,https://hh.ru/vacancy/44067050?query=Lean,,,,https://hh.ru
QA Mobile Team Lead,https://hh.ru/vacancy/44094705?query=Lean,,,,https://hh.ru
HSE Manager,https://hh.ru/vacancy/44015132?query=Lean,,,,https://hh.ru
Senior Project manager,https://hh.ru/vacancy/42944395?query=Lean,,,,https://hh.ru
SQA Packs Technologist,https://hh.ru/vacancy/44044064?query=Lean,,,,https://hh.ru
Владелец продукта для внутренних Data&Analytics продуктов Магнит,https://hh.ru/vacancy/43939454?query=Lean,,,,https://hh.ru
Инженер по отделочным работам,https://hh.ru/vacancy/44027031?query=Lean,,,,https://hh.ru
Специалист по операционной эффективности,https://hh.ru/vacancy/41692943?query=Lean,,,,https://hh.ru
"Управляющий проектами web-разработки, удаленно",https://hh.ru/vacancy/43824135?query=Lean,80000,140000,руб.,https://hh.ru
Главный конструктор /Технический руководитель группы,https://hh.ru/vacancy/43370766?query=Lean,,,,https://hh.ru
Специалист по операционной эффективности,https://hh.ru/vacancy/42196705?query=Lean,,,,https://hh.ru
Специалист по операционной эффективности,https://hh.ru/vacancy/42196707?query=Lean,,,,https://hh.ru
Главный специалист (развития персонала в рамках производственной системы),https://hh.ru/vacancy/43999518?query=Lean,,,,https://hh.ru
Специалист по операционной эффективности,https://hh.ru/vacancy/42196703?query=Lean,,,,https://hh.ru
Ведущий .NET разработчик,https://hh.ru/vacancy/44148456?query=Lean,80000,150000,руб.,https://hh.ru
Руководитель участка по ремонту холодильного оборудования,https://hh.ru/vacancy/43929390?query=Lean,,,,https://hh.ru
Руководитель операций сортировки и отгрузки,https://hh.ru/vacancy/43930708?query=Lean,,,,https://hh.ru
Ведущий .NET разработчик,https://hh.ru/vacancy/44148455?query=Lean,80000,150000,руб.,https://hh.ru
Начальник отдела автоматизации и поддержки продаж (B2B),https://hh.ru/vacancy/43925927?query=Lean,,,,https://hh.ru
Специалист по операционной эффективности,https://hh.ru/vacancy/42196706?query=Lean,,,,https://hh.ru
